,tweet_id,Party
174,914457571360198656,NVA
175,914458331271647233,sp.a
176,914459657565024256,NVA
177,914459669162229760,CD&V
178,914460948987088898,NVA
179,914461017723297792,NVA
180,914461528237248513,NVA
181,914462448899575809,NVA
182,914463830859804672,Open Vld
183,914464092139741184,sp.a
184,914464208112308225,NVA
185,914467030463647744,Open Vld
186,914467618517585920,NVA
187,914469573340090369,NVA
188,914469585725919232,CD&V
189,914469995526139905,NVA
190,914470208630337537,NVA
191,914470818364739584,NVA
192,914471191548776449,CD&V
193,914472229076955136,NVA
194,914474794833338369,NVA
195,914475515725078528,Groen
196,914475842184597504,Groen
197,914477284567998466,NVA
198,914477359323107331,CD&V
199,914479847786913798,NVA
201,914481043448713217,NVA
202,914481809177681921,NVA
203,914483037873872896,NVA
204,914484327383224321,CD&V
205,914486605049733121,NVA
206,914487534671077376,NVA
207,914489883661660160,NVA
208,914491212622688256,NVA
209,914493584203669504,NVA
210,914495592834969600,NVA
211,914500090613633025,Open Vld
212,914501606753882112,NVA
213,914504319290036224,Groen
214,914504449678331905,NVA
215,914505639711461376,NVA
216,914513824753078273,NVA
217,914515587736522752,NVA
218,914517787955036160,Open Vld
219,914518261802430475,NVA
220,914519828630777861,NVA
221,914528151199510528,NVA
222,914530506083110912,NVA
223,914531278850002946,Groen
224,914535251459891200,VB
225,914537888351703041,NVA
226,914542577713590273,VB
227,914543994654412800,NVA
228,914547901157789696,VB
229,914553268877000704,NVA
230,914553433184768000,NVA
231,914553610620604416,Groen
232,914553993749307392,Groen
233,914554624199286785,Groen
234,914555319384240128,NVA
235,914557226207105026,Groen
236,914562298282479616,Groen
237,914562701086609408,Groen
238,914567659815100416,NVA
239,914567924446302210,sp.a
240,914570676039749632,NVA
241,914576525319659523,NVA
242,914576550506483712,VB
243,914579061917315074,NVA
244,914580857456914442,CD&V
245,914585691408957442,VB
246,914587051147890688,NVA
247,914590653597851655,sp.a
248,914591891693473794,NVA
249,914596719601561601,NVA
250,914597152915062785,NVA
251,914605734377254912,NVA
252,914616004277411840,NVA
253,914623358574133248,NVA
254,914623821466013698,NVA
255,914631998098018305,NVA
256,914643010369069056,NVA
257,914700560292556800,NVA
258,914727529650491392,NVA
259,914728104391839746,CD&V
260,914728971920691200,sp.a
261,914730187329298432,VB
262,914731866481184768,Groen
263,914732320518758400,NVA
264,914732745456267264,VB
265,914735222348042240,VB
266,914736399861075968,NVA
267,914738629716660224,NVA
268,914739293448495105,NVA
269,914742461012070400,NVA
270,914742923014664197,VB
271,914748524604149760,CD&V
272,914748712282443776,sp.a
273,914750442793525248,NVA
274,914752544060080128,CD&V
275,914753651771629568,CD&V
276,914759595465347072,CD&V
277,914762818267893760,CD&V
278,914763305025228805,Groen
279,914765835415236608,sp.a
280,914767760223346689,CD&V
281,914768917624770560,NVA
282,914771386123653120,NVA
283,914771428993589249,sp.a
284,914776609240043520,NVA
285,914776943018565633,VB
286,914777961013932032,sp.a
287,914779038568341504,NVA
288,914779541993910277,NVA
